,binary_search_lcs,brute_force_lcs,dynamic_lcs,exp_search_lcs,functional_lcs,iterative_lcs,recursive_lcs,short_hi_lcs,short_lo_lcs,suffix_search_lcs,suffix_tree_lcs
0,1.4222228543212684e-05,1.2000005333335704e-05,7.111114271606343e-06,1.2444449975311101e-05,3.688890528395791e-05,6.666669629630945e-06,5.777780345680154e-06,8.888892839507929e-06,4.444446419753964e-06,0.0006146669398519733,7.911114627162056e-05
100,0.00016888896395065065,0.0018946675087411148,0.0009782226569878475,0.00011511116227162767,0.038370683720303875,0.00015155562291361017,,0.001745778553679357,8.66667051852023e-05,0.0009448893088396928,0.0009102226267656119
200,0.0003817779474568655,0.00926444856197714,0.017953341312596138,0.00018711119427164188,0.2042289796573243,0.0005720002542223353,,0.007312892139063173,0.00012622227832101258,0.0014200006311113915,0.0021488898439510425
300,0.0006657780736791438,0.026289345017486674,0.02361423271743676,0.000961778205234758,0.6109491604218491,0.001264889451061978,,0.017975119100052932,0.0003040001351111712,0.00239911217738319,0.016786674127410722
400,0.0009586670927409301,0.054501802000800896,0.030471124653833177,0.0006568891808396359,1.5308513470450429,0.0023191121418276186,,0.03564668250963667,0.0005364446828643035,0.002411112182716526,0.016959118648497175
500,0.0013088894706175425,0.10049782244347664,0.04098712932761303,0.0005595558042470241,2.867696385642838,0.005024891122173832,,0.06168358297048132,0.00040444462419761076,0.0022133343170374744,0.01778223012543561
600,0.0016764451895311951,0.1732791881240836,0.055421802409689955,0.0009693337641483396,4.908915959518204,0.005344002375112167,,0.09350493044663576,0.0006035558238025884,0.004035112904494624,0.01982800881244836
700,0.002100445377975723,0.25407255736558104,0.07417247740998996,0.0010604449157532957,7.598267377007723,0.007232447658865626,,0.1365507273558788,0.0007773336788149684,0.004380446391309507,0.021153342734818992
800,0.0025755567002474222,0.3549401577511812,0.09439204195201863,0.0008964448428643746,,0.009479115324051254,,0.19502853112379165,0.0006248891666174074,0.0032595570042475573,0.021158676070522697
900,0.0029928902190623193,0.4916411073960477,0.11464716206540536,0.0009968893319508142,,0.01215600540266907,,0.26121078276034787,0.000701778089679151,0.0035368904608402054,0.02279689902084401
1000,0.003586668260741449,0.6672869632386503,0.14105028491123775,0.0015697784754571,,0.014925784411459739,,0.34348815266140115,0.0011040004906668847,0.006795114131161835,0.02356356602825157
1100,0.0039906684402970845,0.859983493325997,0.17230674324744147,0.0016400007288892128,,0.01789911906627514,,0.42923796855020824,0.001056444913975517,0.006966225318322364,0.02473467765985674
1200,0.004402668623408277,1.1359582826481256,0.21061920471964657,0.0017355563269139229,,0.022151120956053757,,0.5395673509188226,0.001175111633382948,0.006717780763458117,0.025735122548943355
1300,0.0052697801199022756,1.4059819582142037,0.23906632847392376,0.00402977956879092,,0.025201788978572878,,0.6646376287278349,0.0013964450650866954,0.007278669901631067,0.026259567226474323
1400,0.005559113581828258,1.6963647539398907,0.2708441203751646,0.0020924453744201664,,0.029248901888400843,,0.810903471512654,0.0014977784434570861,0.012402227734323437,0.027221789876351057
1500,0.006279558346470377,2.068099141377396,0.3097383598837155,0.002210667649185622,,0.03352090378706835,,0.9619057608470049,0.001587556261136116,0.008013336894816397,0.027984456881980837
1600,0.006816447473976655,2.4513375339277927,0.36262238338772596,0.0020982231547658466,,0.03803601690489641,,1.1463427317078807,0.0020284453459757093,0.006245336109038271,0.030296457909536847
1700,0.007395558842470597,2.9510364226828547,0.4115957384869949,0.002574667810963472,,0.04292001907556403,,1.3412605961158204,0.0017293341019262675,0.010155560069137808,0.029651568734030548
1800,0.007989336884149725,3.451675311855694,0.45406109069381806,0.002618667830519036,,0.04844046597354044,,1.5567131363169495,0.0017435563304694802,0.009172892965730208,0.030235124548944243
1900,0.013622672721187877,4.074859144381842,0.5143797841687929,0.0024484455326424597,,0.06451602867379053,,1.818275030344458,0.002281778791901685,0.006965780873680388,0.03153868068385808
2000,0.009774226566322918,4.824386588616262,0.5538469128208501,0.0027000012000005335,,0.059807137692061196,,2.0847480376657943,0.0024764455450869086,0.008379114835162148,0.032595570042475576
2100,0.010936004860446605,5.587791816796363,0.6197256087669372,0.002957334647704288,,0.06618269608119826,,2.3707419425519745,0.002698223421432632,0.00981555991802663,0.034102681823414145
2200,0.01145111620049609,6.429604635379838,0.6987203105423603,0.0031195569420253075,,0.07225780989235996,,2.6999483110881384,0.0022533343348152602,0.011079116035162682,0.034303570801587024
2300,0.012108449825977701,7.335907260403227,0.7552532245569886,0.003291557018469786,,0.07939025750678112,,3.0255680113635606,0.0023000010222226767,0.011679116301829466,0.03521157120514276
2400,0.012699116755163001,8.64492739774551,0.872050609800271,0.003743557219358764,,0.08744937219972097,,3.41732285214349,0.0022831121258276117,0.013306228136101394,0.03530534902459957
2500,0.013971117320496588,,0.8861652827401256,0.003685334971259987,,0.09373337499261111,,3.838755483891326,0.002399556622025166,0.013410228182323637,0.03659912737738995
2600,0.014656450958422648,,0.9584657593181153,0.0035333349037044016,,0.10145648953621757,,4.298842355041047,0.003093334708148759,0.011532005125335611,0.03718268319230364
2700,0.015597784710126537,,1.066134251615223,0.003881335058371137,,0.10863160383626837,,4.6712518538897125,0.00279689013195117,0.01497867332385481,0.03893423952632868
2800,0.01621245164997851,,1.1165978295990353,0.0036186682749636775,,0.12046716465207317,,5.294422353076602,0.003276001456000647,0.011125782722570098,0.0398462399316622
2900,0.01858845270597898,,1.1952507534447794,0.00416489073995144,,0.12560894471508652,,5.913818183919192,0.003587112705383425,0.01442356196602754,0.040084462259761006
