,binary_search_lcs,brute_force_lcs,dynamic_lcs,exp_search_lcs,functional_lcs,iterative_lcs,recursive_lcs,short_hi_lcs,short_lo_lcs,suffix_search_lcs,suffix_tree_lcs
0,1.2444449975311101e-05,9.333337481483325e-06,8.44444819753253e-06,1.5555562469138874e-05,2.8444457086425368e-05,7.5555589135817385e-06,3.5555571358031714e-06,8.444448197532533e-06,4.000001777778568e-06,0.0006035558238025884,7.60000337777928e-05
100,0.00017688896750620776,0.0018617786052349357,0.0009933337748150109,0.00011288893906175069,0.040588462483761106,0.00016622229609879828,,0.0025640011395560622,8.533337125927612e-05,0.0009168892963952428,0.0008933337303705469
200,0.00041688907417292186,0.009727559878915501,0.017548452243756552,0.00023244454775313232,0.19782764347895265,0.0008222225876544834,,0.007341336596149598,0.00017866674607410938,0.0014871117720496763,0.0034786682127414276
300,0.0006848891932840859,0.026280456124647168,0.02215689873639944,0.0003413334850371045,0.7836559038470684,0.0013515561562471804,,0.018198674754966556,0.0002506667780741236,0.0016448896199509422,0.016032451569978474
400,0.000991111551605134,0.0518786897238621,0.03150445844642598,0.0005831113702717201,1.4788348794821686,0.002353334379259724,,0.03533779348346377,0.0004400001955556425,0.0024746677665190074,0.017631118947163977
500,0.0012911116849385266,0.1085640482506881,0.04154446290865019,0.0005657780292346796,2.8437399305510804,0.0037048905355069046,,0.05967202652090067,0.0004040001795556354,0.0021733342992596885,0.0200133422281521
600,0.001636000727111434,0.1715974095988487,0.05820313697917199,0.0008848892821730143,5.021356898380843,0.005371557942914641,,0.09324270810787028,0.0010502226889878615,0.0034555570913587072,0.020176897856399048
700,0.0020840009262226337,0.25370277942345754,0.07254447668643409,0.0010311115693829196,7.783176348078377,0.007647114509828671,,0.13771072787143462,0.0006666669629630947,0.004162668516741562,0.019819119919608854
800,0.0026213344983708883,0.35295971242653884,0.09513026450233979,0.0008804448357532604,,0.009563115361384603,,0.19339786373238388,0.0006293336130371613,0.0033391125951611534,0.02056178691634974
900,0.0028773346121487163,0.5179348968599542,0.1150458289092573,0.001223111654716291,,0.012104449824199922,,0.25887744838997706,0.0011542227352101043,0.004408890848395933,0.022582676703411866
1000,0.0034555570913587072,0.6679078524034899,0.1397360621049165,0.0011657782959014647,,0.015598229154768512,,0.33964015095117817,0.0007844447930865747,0.004032001792000796,0.023656899403066402
1100,0.003984446215309429,0.8724181655191847,0.17135118726719434,0.001742222996543554,,0.017997785776793677,,0.4291224129432946,0.001089778262123672,0.006472891765729673,0.024571122031609792
1200,0.004472446432198414,1.1379796168798297,0.201380089502262,0.0017564452250867664,,0.02141200951644867,,0.5436704638535395,0.001119111608494048,0.006875114166717407,0.025362233494325998
1300,0.009624004277335233,1.3930108413381517,0.23495210442315753,0.001860000826667034,,0.025429789079906256,,0.6602140712062539,0.0012742227885434614,0.00674933633303837,0.028056012469338875
1400,0.005641780285235683,1.6979674213188538,0.2962987983550215,0.0020226675656300295,,0.029086235149437846,,0.800660355849047,0.0013942228418768186,0.00732666992296441,0.027831123480499324
1500,0.006373336165927185,2.0564049139577394,0.31367925052411133,0.002164000961778205,,0.0353444601530934,,0.9660070960031538,0.0014680006524447342,0.00786533682903859,0.027944901308845027
1600,0.00668355852602601,2.4348673043854685,0.35993304885913285,0.0023546677131856503,,0.03847246154331624,,1.145541842463041,0.0016453340645929174,0.008704448313088139,0.02901912400849956
1700,0.007416003296001465,2.9795555464691317,0.4056535136237838,0.0024088899595066486,,0.04315290806795914,,1.3375872611498938,0.0020088897817287918,0.00827289256573003,0.02919290186351194
1800,0.00820133697837199,3.4743046552465136,0.45757487003327557,0.002575112255605447,,0.04851602156267625,,1.5613198050310244,0.001757778559012693,0.009480893102619157,0.030683569192697418
1900,0.009456004202668533,4.038906683958526,0.5027060012026672,0.002902667956741314,,0.05379113501828223,,1.8191643640730506,0.0018373341499262888,0.011436893971952876,0.03130045835575927
2000,0.022200898755955004,4.6677220745431445,0.5531420236186771,0.002904890179951191,,0.05970935987082661,,2.0674240299662356,0.001944000864000384,0.010412893516841562,0.03227468101096934
2100,0.010716449207310758,5.539557573136699,0.6137353838823928,0.0026697789643462064,,0.06600402933512414,,2.3473668210519203,0.002706223424988189,0.008528448234865881,0.03361157049403133
2200,0.02083023148010288,6.44185575193589,0.6871469720653209,0.0034288904128401835,,0.16854807491025553,,2.7009985337771263,0.0028146679176301857,0.00864355939713751,0.036830683035859124
2300,0.012171116520496232,7.722968321319254,0.7640634506948669,0.0033471125987167105,,0.07901781289680573,,3.033324903699957,0.0022613343383708173,0.012376449945088863,0.03515379340168595
2400,0.013942228418768186,8.67556607802937,0.827883034614682,0.0034942237752105666,,0.0867969274653011,,3.39647750954556,0.002393778841679485,0.012525338900150623,0.03597957154647625
2500,0.018552452689978974,,0.8888603950490644,0.0035106682269636564,,0.09300804133690727,,3.8493528219345876,0.002953334645926509,0.012500894444841976,0.037594683375414835
2600,0.014885784393681954,,0.9600484266881896,0.003906668402963735,,0.11208449425977522,,4.294603686490527,0.0025008900003955555,0.013720450542422465,0.038150683622526056
2700,0.015834673704299425,,1.0485577993590218,0.0038488905995069335,,0.1123867166163185,,4.737196327642812,0.0025977789323461922,0.013912450627755835,0.03709601648711844
2800,0.016264896117731607,,1.1204062757361226,0.0037617794496797555,,0.11800671911409738,,5.282645014508895,0.003232001436445083,0.012476449989533329,0.039483128659168296
2900,0.01727645212286761,,1.188952528423346,0.004202668534519349,,0.12561116693829644,,5.9019048452910425,0.0028346679265190784,0.015197784532348681,0.03982001769778564
