,worst,random,text
0,3.5555585782276466e-06,3.1111139833228663e-06,4.444448222784558e-06
1,5.777782916993601e-06,4.000003627879778e-06,4.000003627879778e-06
2,7.5555622061074246e-06,6.666672561550513e-06,7.111117156455293e-06
3,2.622224565129727e-05,1.8222238395537715e-05,1.4666679817310069e-05
4,4.488892909648712e-05,4.8444487674714765e-05,5.11111566083855e-05
5,0.000229777981985535,0.00015200013513094746,0.00015955569733705488
6,0.0006924450599399279,0.000575111622310942,0.0006546672484546434
7,0.002437335499507753,0.0026955579514833516,0.002935558164608665
8,0.013257789562430844,0.009027119135225803,0.009878231002858229
9,0.031818694949834025,0.038864034545895265,0.033866252325424284
10,0.12176366378980674,0.11755077115594759,0.12264722013105711
11,0.42176793046019156,0.5314315834948502,0.46043507594231414
12,1.7059601830760585,1.8069487172874688,1.9056928050604256
13,,,
